name,agents_average_initial_opinion,technology_success_rate,k_S->Q,k_S->L,k_Q->L,k_Q->B,k_L->Q,k_L->B,k_B->S
2_14_9,0.4,0.9,0.059585953524562196,0.06683609887003843,0.2546277165679715,0.0,0.0,0.0,0.0
2_14_10,0.4,1.0,0.061896434989397016,0.06547999318727078,0.3223185851052189,0.0,0.0,0.0,0.0
2_15_0,0.5,0.0,0.0009664273851189337,0.04673855673275235,0.0,0.3641240856853158,0.29229954457378704,0.0,0.0
2_15_1,0.5,0.1,0.0,0.02730802984322581,0.0,0.3182116650917699,0.26370958966346447,0.0,0.0
2_15_2,0.5,0.2,0.01223745068214728,0.0,0.0,0.2970361712278964,0.19988947856160108,0.0,0.0
2_15_3,0.5,0.3,0.06422650236207818,0.0,0.015229219054753959,0.25748718227878536,0.1722027371105392,0.0,0.0
2_15_4,0.5,0.4,0.0,0.0,0.0,0.1941665929207602,0.12144173522509613,0.0,0.0
2_15_5,0.5,0.5,0.0,0.0,0.0,0.1214024661135967,0.07735666620901534,0.0,0.0
2_15_6,0.5,0.6,0.01493825502109099,0.0,0.0,0.11548994252831425,0.040965225892794846,0.0,0.0
2_15_7,0.5,0.7,0.018735822343017624,0.0,0.13085471635352383,0.08251575151517503,0.030641307072105693,0.0,0.0
2_15_8,0.5,0.8,0.0,0.04230674076091175,0.2863861022965162,0.0,0.001429855736449938,0.0,0.0
2_15_9,0.5,0.9,0.003402577437257428,0.03465858147458019,0.34522094211832943,0.0,4.622287471418514e-05,0.0,0.0
2_15_10,0.5,1.0,0.009618836153570792,0.028795921110829566,0.39511547451393036,0.0,6.961764712974479e-06,0.0,0.0
2_16_0,0.6,0.0,0.08114516160346098,0.0,0.0,0.4389574327539288,0.25759332348277564,0.0,0.0
2_16_1,0.6,0.1,0.1358312249509591,0.0,0.005389941034033233,0.3948559066776063,0.20672171874413683,0.0,0.0
2_16_2,0.6,0.2,0.016561070118763926,0.0,0.0,0.310171928925834,0.15246474943346516,0.0,0.0
2_16_3,0.6,0.3,0.0,0.021735184519417982,0.0,0.21707529391657085,0.12438335086005992,0.0,0.0
2_16_4,0.6,0.4,0.0,0.0,0.0,0.16266512124986462,0.09291449206638136,0.0,0.0
2_16_5,0.6,0.5,0.0,0.0,0.0,0.11820602917806655,0.061377732311203984,0.0,0.0
2_16_6,0.6,0.6,0.009997403747914978,0.0,0.0,0.10859487899161699,0.030336104938122117,0.0,0.0
2_16_7,0.6,0.7,0.08079981179706484,0.0,0.06283474802379316,0.09663983327675729,0.020885019043995208,0.0,0.017149237487462565
2_16_8,0.6,0.8,0.0,0.0,0.35652251453918327,0.015337672394474762,0.0003724274729805838,0.0,0.0
2_16_9,0.6,0.9,0.0,0.0,0.3926746721863877,0.0227910359467478,5.4218558245588795e-05,0.0,0.0
2_16_10,0.6,1.0,0.0,0.0,0.4042340074198843,0.02474144761358166,1.6310955023446833e-06,0.0,0.0
2_17_0,0.7,0.0,0.035436775405088175,0.042835131300877516,0.0,0.3793896587214758,0.19708018875292468,0.0,0.0
2_17_1,0.7,0.1,0.0,0.04209463498208399,0.0,0.31623837467938054,0.16973091602402224,0.0,0.0
2_17_2,0.7,0.2,0.0,0.029775240238504794,0.0,0.25535303477757343,0.13588552722247194,0.0,0.0
2_17_3,0.7,0.3,0.02730908863044505,0.0,0.0,0.25212083819580056,0.10963793388226338,0.0,0.0
2_17_4,0.7,0.4,0.0,0.03633922299862806,0.0,0.16843480787939427,0.08684470274381632,0.0,0.0
2_17_5,0.7,0.5,0.0,0.0,0.0,0.10229176570823935,0.048488080631160925,0.0,0.0
2_17_6,0.7,0.6,0.04146111372867706,0.0,0.0018445892802020853,0.16440078853181056,0.030379564976843465,0.0,0.0
2_17_7,0.7,0.7,0.013104143057623873,0.0,0.0,0.06813198630501892,0.008496748314478005,0.0,0.0
2_17_8,0.7,0.8,0.0,0.0,0.2384123723177059,0.04346621018482283,0.0,0.0,0.0
2_17_9,0.7,0.9,0.0,0.0,0.27539652337814513,0.0588676872347351,0.0,0.0,0.0
2_17_10,0.7,1.0,0.0,0.0,0.2774553677769382,0.05998215862790178,0.0,0.0,0.0
2_18_0,0.8,0.0,0.0,0.12315581739318993,0.0,0.3341518417102325,0.1718770498707296,0.0,0.0
2_18_1,0.8,0.1,0.0,0.13413459328362876,0.0,0.26969558090533924,0.14268277006221605,0.0,0.0
2_18_2,0.8,0.2,0.0,0.06012019954255738,0.0,0.24566517188476866,0.11961560690531002,0.0,0.0
2_18_3,0.8,0.3,0.0,0.05146658143890597,0.0,0.19745571747134008,0.09688386438419685,0.0,0.0
2_18_4,0.8,0.4,0.025994969669697606,0.008888788683402642,0.0,0.19212083723328904,0.06746209367274945,0.0,0.0
2_18_5,0.8,0.5,0.0,0.0009112320728566993,0.0,0.0991705600898923,0.038236734961492644,0.0,0.0
2_18_6,0.8,0.6,0.020344093038681805,0.0,0.0,0.12125596754912091,0.02209061815421714,0.0,0.0
2_18_7,0.8,0.7,0.0003502228170191853,0.0,0.0,0.03710582678009237,0.00876168422031459,0.0,0.0
2_18_8,0.8,0.8,0.0,0.0,0.2012428250835206,0.052960304444711614,0.0,0.0,0.0
2_18_9,0.8,0.9,0.0,0.0,0.20911432132369073,0.055927852628035866,0.0,0.0,0.0
2_18_10,0.8,1.0,0.0,0.0,0.22450066786669556,0.061661332709927755,0.0,0.0,0.0
2_19_0,0.9,0.0,0.0572491618559709,0.24426205389202507,0.0,0.3062650856127028,0.14764223194928888,0.0,0.0
2_19_1,0.9,0.1,0.021285532397356623,0.1766083744418118,0.0,0.28464783179699565,0.12960306630889062,0.0,0.0
2_19_2,0.9,0.2,0.003544134041749265,0.11074923494285181,0.0,0.26141425747733305,0.10698423636006518,0.0,0.0
2_19_3,0.9,0.3,0.0,0.03648771118110609,0.0,0.22274126472266081,0.08426969195482306,0.0,0.0
2_19_4,0.9,0.4,0.028495601718280337,0.0,0.0,0.19419679811492863,0.05229258635589388,0.0,0.0
2_19_5,0.9,0.5,0.015387162682826595,0.0,0.0,0.15065152898488848,0.03204999412016767,0.0,0.0
2_19_6,0.9,0.6,0.03208059721416203,0.0,0.0,0.15165273430641737,0.02005211596693203,0.0,0.0
2_19_7,0.9,0.7,0.0,0.0,0.0,0.04407850416538265,0.00627026298395264,0.0001402501827164224,0.024104426162273214
2_19_8,0.9,0.8,0.0,0.0,0.2003790480771083,0.0578277134738766,0.0,0.0,0.0
2_19_9,0.9,0.9,0.0,0.0,0.2412606287493297,0.07203188749442034,0.0,0.0,0.0
2_19_10,0.9,1.0,0.0,0.0,0.2447099438584579,0.07325842209446382,0.0,0.0,0.0
