name,agents_average_initial_opinion,technology_success_rate,final_adaption
2_1_4_4,-0.9,0.4,0.0
2_1_4_5,-0.9,0.4,0.0
3_1_4_0,-0.9,0.4,0.0
3_1_4_1,-0.9,0.4,0.0
3_1_4_2,-0.9,0.4,0.0
3_1_4_3,-0.9,0.4,0.0
3_1_4_4,-0.9,0.4,0.0
3_1_4_5,-0.9,0.4,0.0
4_1_4_0,-0.9,0.4,0.0
4_1_4_1,-0.9,0.4,0.0
4_1_4_2,-0.9,0.4,0.0
4_1_4_3,-0.9,0.4,0.0
4_1_4_4,-0.9,0.4,0.0
4_1_4_5,-0.9,0.4,0.0
0_1_5_0,-0.9,0.5,0.0
0_1_5_1,-0.9,0.5,0.0
0_1_5_2,-0.9,0.5,0.0
0_1_5_3,-0.9,0.5,0.0
0_1_5_4,-0.9,0.5,0.0
0_1_5_5,-0.9,0.5,0.0
1_1_5_0,-0.9,0.5,0.0
1_1_5_1,-0.9,0.5,0.0
1_1_5_2,-0.9,0.5,0.0
1_1_5_3,-0.9,0.5,0.0
1_1_5_4,-0.9,0.5,0.0
1_1_5_5,-0.9,0.5,0.0
2_1_5_0,-0.9,0.5,0.0
2_1_5_1,-0.9,0.5,0.0
2_1_5_2,-0.9,0.5,0.0
2_1_5_3,-0.9,0.5,0.0
2_1_5_4,-0.9,0.5,0.0
2_1_5_5,-0.9,0.5,0.0
3_1_5_0,-0.9,0.5,0.0
3_1_5_1,-0.9,0.5,0.0
3_1_5_2,-0.9,0.5,0.0
3_1_5_3,-0.9,0.5,0.0
3_1_5_4,-0.9,0.5,0.0
3_1_5_5,-0.9,0.5,0.0
4_1_5_0,-0.9,0.5,0.0
4_1_5_1,-0.9,0.5,0.0
4_1_5_2,-0.9,0.5,0.0
4_1_5_3,-0.9,0.5,0.0
4_1_5_4,-0.9,0.5,0.0
4_1_5_5,-0.9,0.5,0.0
0_1_6_0,-0.9,0.6,0.0
0_1_6_1,-0.9,0.6,0.0
0_1_6_2,-0.9,0.6,0.0
0_1_6_3,-0.9,0.6,0.0
0_1_6_4,-0.9,0.6,0.0
0_1_6_5,-0.9,0.6,0.0
1_1_6_0,-0.9,0.6,0.0
1_1_6_1,-0.9,0.6,0.0
1_1_6_2,-0.9,0.6,0.0
1_1_6_3,-0.9,0.6,0.0
1_1_6_4,-0.9,0.6,0.0
1_1_6_5,-0.9,0.6,0.0
2_1_6_0,-0.9,0.6,0.0
2_1_6_1,-0.9,0.6,0.0
2_1_6_2,-0.9,0.6,0.0
2_1_6_3,-0.9,0.6,0.0
2_1_6_4,-0.9,0.6,0.0
2_1_6_5,-0.9,0.6,0.0
3_1_6_0,-0.9,0.6,0.0
3_1_6_1,-0.9,0.6,0.0
3_1_6_2,-0.9,0.6,0.0
3_1_6_3,-0.9,0.6,0.0
3_1_6_4,-0.9,0.6,0.0
3_1_6_5,-0.9,0.6,0.0
4_1_6_0,-0.9,0.6,0.0
4_1_6_1,-0.9,0.6,0.0
4_1_6_2,-0.9,0.6,0.0
4_1_6_3,-0.9,0.6,0.0
4_1_6_4,-0.9,0.6,0.0
4_1_6_5,-0.9,0.6,0.0
0_1_7_0,-0.9,0.7,0.0
0_1_7_1,-0.9,0.7,0.0
0_1_7_2,-0.9,0.7,0.0
0_1_7_3,-0.9,0.7,0.0
0_1_7_4,-0.9,0.7,0.0
0_1_7_5,-0.9,0.7,0.0
1_1_7_0,-0.9,0.7,0.0
1_1_7_1,-0.9,0.7,0.0
1_1_7_2,-0.9,0.7,0.0
1_1_7_3,-0.9,0.7,0.0
1_1_7_4,-0.9,0.7,0.0
1_1_7_5,-0.9,0.7,0.0
2_1_7_0,-0.9,0.7,0.0
2_1_7_1,-0.9,0.7,0.0
2_1_7_2,-0.9,0.7,0.0
2_1_7_3,-0.9,0.7,0.0
2_1_7_4,-0.9,0.7,0.0
2_1_7_5,-0.9,0.7,0.0
3_1_7_0,-0.9,0.7,0.0
3_1_7_1,-0.9,0.7,0.0
3_1_7_2,-0.9,0.7,0.0
3_1_7_3,-0.9,0.7,0.0
3_1_7_4,-0.9,0.7,0.0
3_1_7_5,-0.9,0.7,0.0
4_1_7_0,-0.9,0.7,0.0
4_1_7_1,-0.9,0.7,0.0
4_1_7_2,-0.9,0.7,0.0
4_1_7_3,-0.9,0.7,0.0
4_1_7_4,-0.9,0.7,0.0
4_1_7_5,-0.9,0.7,0.0
0_1_8_0,-0.9,0.8,0.0
0_1_8_1,-0.9,0.8,0.0
0_1_8_2,-0.9,0.8,0.0
0_1_8_3,-0.9,0.8,0.0
0_1_8_4,-0.9,0.8,0.0
0_1_8_5,-0.9,0.8,0.0
1_1_8_0,-0.9,0.8,0.0
1_1_8_1,-0.9,0.8,0.0
1_1_8_2,-0.9,0.8,0.0
1_1_8_3,-0.9,0.8,0.0
1_1_8_4,-0.9,0.8,0.0
1_1_8_5,-0.9,0.8,0.0
2_1_8_0,-0.9,0.8,0.0
2_1_8_1,-0.9,0.8,0.0
2_1_8_2,-0.9,0.8,0.0
2_1_8_3,-0.9,0.8,0.0
2_1_8_4,-0.9,0.8,0.0
2_1_8_5,-0.9,0.8,0.0
3_1_8_0,-0.9,0.8,0.0
3_1_8_1,-0.9,0.8,0.0
3_1_8_2,-0.9,0.8,0.0
3_1_8_3,-0.9,0.8,0.0
3_1_8_4,-0.9,0.8,0.0
3_1_8_5,-0.9,0.8,0.0
4_1_8_0,-0.9,0.8,0.0
4_1_8_1,-0.9,0.8,0.0
4_1_8_2,-0.9,0.8,0.0
4_1_8_3,-0.9,0.8,0.0
4_1_8_4,-0.9,0.8,0.0
4_1_8_5,-0.9,0.8,0.0
0_1_9_0,-0.9,0.9,0.0
0_1_9_1,-0.9,0.9,0.0
0_1_9_2,-0.9,0.9,0.0
0_1_9_3,-0.9,0.9,0.0
0_1_9_4,-0.9,0.9,0.0
0_1_9_5,-0.9,0.9,0.0
1_1_9_0,-0.9,0.9,0.0
1_1_9_1,-0.9,0.9,0.0
1_1_9_2,-0.9,0.9,0.0
1_1_9_3,-0.9,0.9,0.0
1_1_9_4,-0.9,0.9,0.0
1_1_9_5,-0.9,0.9,0.0
2_1_9_0,-0.9,0.9,0.0
2_1_9_1,-0.9,0.9,0.0
2_1_9_2,-0.9,0.9,0.0
2_1_9_3,-0.9,0.9,0.0
2_1_9_4,-0.9,0.9,0.0
2_1_9_5,-0.9,0.9,0.0
3_1_9_0,-0.9,0.9,0.0
3_1_9_1,-0.9,0.9,0.0
3_1_9_2,-0.9,0.9,0.0
3_1_9_3,-0.9,0.9,0.0
3_1_9_4,-0.9,0.9,0.0
3_1_9_5,-0.9,0.9,0.0
4_1_9_0,-0.9,0.9,0.0
4_1_9_1,-0.9,0.9,0.0
4_1_9_2,-0.9,0.9,0.0
4_1_9_3,-0.9,0.9,0.0
4_1_9_4,-0.9,0.9,0.0
4_1_9_5,-0.9,0.9,0.0
0_1_10_0,-0.9,1.0,0.0
0_1_10_1,-0.9,1.0,0.0
0_1_10_2,-0.9,1.0,0.0
0_1_10_3,-0.9,1.0,0.0
0_1_10_4,-0.9,1.0,0.0
0_1_10_5,-0.9,1.0,0.0
1_1_10_0,-0.9,1.0,0.0
1_1_10_1,-0.9,1.0,0.0
1_1_10_2,-0.9,1.0,0.0
1_1_10_3,-0.9,1.0,0.0
1_1_10_4,-0.9,1.0,0.0
1_1_10_5,-0.9,1.0,0.0
2_1_10_0,-0.9,1.0,0.0
2_1_10_1,-0.9,1.0,0.0
2_1_10_2,-0.9,1.0,0.0
2_1_10_3,-0.9,1.0,0.0
2_1_10_4,-0.9,1.0,0.0
2_1_10_5,-0.9,1.0,0.0
3_1_10_0,-0.9,1.0,0.0
3_1_10_1,-0.9,1.0,0.0
3_1_10_2,-0.9,1.0,0.0
3_1_10_3,-0.9,1.0,0.0
