name,seed,teams_num,agents_average_initial_opinion,technology_success_rate
0_6_7_4,383329927,20,-0.4,0.7
0_6_7_5,383329927,25,-0.4,0.7
0_6_8_0,383329927,1,-0.4,0.8
0_6_8_1,383329927,5,-0.4,0.8
0_6_8_2,383329927,10,-0.4,0.8
0_6_8_3,383329927,15,-0.4,0.8
0_6_8_4,383329927,20,-0.4,0.8
0_6_8_5,383329927,25,-0.4,0.8
0_6_9_0,383329927,1,-0.4,0.9
0_6_9_1,383329927,5,-0.4,0.9
0_6_9_2,383329927,10,-0.4,0.9
0_6_9_3,383329927,15,-0.4,0.9
0_6_9_4,383329927,20,-0.4,0.9
0_6_9_5,383329927,25,-0.4,0.9
0_6_10_0,383329927,1,-0.4,1.0
0_6_10_1,383329927,5,-0.4,1.0
0_6_10_2,383329927,10,-0.4,1.0
0_6_10_3,383329927,15,-0.4,1.0
0_6_10_4,383329927,20,-0.4,1.0
0_6_10_5,383329927,25,-0.4,1.0
0_7_0_0,383329927,1,-0.3,0.0
0_7_0_1,383329927,5,-0.3,0.0
0_7_0_2,383329927,10,-0.3,0.0
0_7_0_3,383329927,15,-0.3,0.0
0_7_0_4,383329927,20,-0.3,0.0
0_7_0_5,383329927,25,-0.3,0.0
0_7_1_0,383329927,1,-0.3,0.1
0_7_1_1,383329927,5,-0.3,0.1
0_7_1_2,383329927,10,-0.3,0.1
0_7_1_3,383329927,15,-0.3,0.1
0_7_1_4,383329927,20,-0.3,0.1
0_7_1_5,383329927,25,-0.3,0.1
0_7_2_0,383329927,1,-0.3,0.2
0_7_2_1,383329927,5,-0.3,0.2
0_7_2_2,383329927,10,-0.3,0.2
0_7_2_3,383329927,15,-0.3,0.2
0_7_2_4,383329927,20,-0.3,0.2
0_7_2_5,383329927,25,-0.3,0.2
0_7_3_0,383329927,1,-0.3,0.3
0_7_3_1,383329927,5,-0.3,0.3
0_7_3_2,383329927,10,-0.3,0.3
0_7_3_3,383329927,15,-0.3,0.3
0_7_3_4,383329927,20,-0.3,0.3
0_7_3_5,383329927,25,-0.3,0.3
0_7_4_0,383329927,1,-0.3,0.4
0_7_4_1,383329927,5,-0.3,0.4
0_7_4_2,383329927,10,-0.3,0.4
0_7_4_3,383329927,15,-0.3,0.4
0_7_4_4,383329927,20,-0.3,0.4
0_7_4_5,383329927,25,-0.3,0.4
0_7_5_0,383329927,1,-0.3,0.5
0_7_5_1,383329927,5,-0.3,0.5
0_7_5_2,383329927,10,-0.3,0.5
0_7_5_3,383329927,15,-0.3,0.5
0_7_5_4,383329927,20,-0.3,0.5
0_7_5_5,383329927,25,-0.3,0.5
0_7_6_0,383329927,1,-0.3,0.6
0_7_6_1,383329927,5,-0.3,0.6
0_7_6_2,383329927,10,-0.3,0.6
0_7_6_3,383329927,15,-0.3,0.6
0_7_6_4,383329927,20,-0.3,0.6
0_7_6_5,383329927,25,-0.3,0.6
0_7_7_0,383329927,1,-0.3,0.7
0_7_7_1,383329927,5,-0.3,0.7
0_7_7_2,383329927,10,-0.3,0.7
0_7_7_3,383329927,15,-0.3,0.7
0_7_7_4,383329927,20,-0.3,0.7
0_7_7_5,383329927,25,-0.3,0.7
0_7_8_0,383329927,1,-0.3,0.8
0_7_8_1,383329927,5,-0.3,0.8
0_7_8_2,383329927,10,-0.3,0.8
0_7_8_3,383329927,15,-0.3,0.8
0_7_8_4,383329927,20,-0.3,0.8
0_7_8_5,383329927,25,-0.3,0.8
0_7_9_0,383329927,1,-0.3,0.9
0_7_9_1,383329927,5,-0.3,0.9
0_7_9_2,383329927,10,-0.3,0.9
0_7_9_3,383329927,15,-0.3,0.9
0_7_9_4,383329927,20,-0.3,0.9
0_7_9_5,383329927,25,-0.3,0.9
0_7_10_0,383329927,1,-0.3,1.0
0_7_10_1,383329927,5,-0.3,1.0
0_7_10_2,383329927,10,-0.3,1.0
